Date;Type_route;id_route;id_naryad;id_part;id_car;id_stop;time_arr;time_dep;count_flights;move_time;to_depot
01.12.2022;48 Трамваи;48;2;2;5097 (тм);Кушелевка ст.;01.12.2022 21:12:00;01.12.2022 21:13:00;;46;Да
01.12.2022;48 Трамваи;48;3;1;5211 (тм);Кушелевка ст.;01.12.2022 12:03:00;01.12.2022 12:04:00;;48;Да
01.12.2022;48 Трамваи;48;3;2;5211 (тм);Кушелевка ст.;01.12.2022 16:59:00;01.12.2022 17:00:00;1,00;;Да
01.12.2022;48 Трамваи;48;5;2;5098 (тм);Кушелевка ст.;01.12.2022 21:35:00;01.12.2022 21:36:00;;44;Да
01.12.2022;48 Трамваи;48;6;2;5213 (тм);Кушелевка ст.;01.12.2022 17:15:00;01.12.2022 17:16:00;1,00;;Да
01.12.2022;48 Трамваи;48;8;1;5111 (тм);Кушелевка ст.;01.12.2022 12:37:00;01.12.2022 12:38:00;;48;Да
01.12.2022;48 Трамваи;48;8;2;5111 (тм);Кушелевка ст.;01.12.2022 16:43:00;01.12.2022 16:44:00;1,00;;Да
01.12.2022;48 Трамваи;48;9;2;5030 (тм);Кушелевка ст.;01.12.2022 21:59:00;01.12.2022 22:00:00;;43;Да
01.12.2022;48 Трамваи;48;10;2;5036 (тм);Кушелевка ст.;02.12.2022 0:35:00;02.12.2022 0:36:00;;43;Да
01.12.2022;48 Трамваи;48;13;2;5119 (тм);Кушелевка ст.;01.12.2022 21:04:00;01.12.2022 21:05:00;;47;Да
01.12.2022;48 Трамваи;48;6;1;5213 (тм);Кушелевка ст.;01.12.2022 12:24:00;01.12.2022 12:25:00;;48;Да
02.12.2022;48 Трамваи;48;2;2;5008 (тм);Кушелевка ст.;02.12.2022 21:12:00;02.12.2022 21:13:00;;46;Да
02.12.2022;48 Трамваи;48;3;1;5211 (тм);Кушелевка ст.;02.12.2022 11:58:00;02.12.2022 11:59:00;;48;Да
02.12.2022;48 Трамваи;48;3;2;5211 (тм);Кушелевка ст.;02.12.2022 16:59:00;02.12.2022 17:00:00;1,00;;Да
02.12.2022;48 Трамваи;48;5;2;5098 (тм);Кушелевка ст.;02.12.2022 21:35:00;02.12.2022 21:36:00;;44;Да
02.12.2022;48 Трамваи;48;6;1;5213 (тм);Кушелевка ст.;02.12.2022 12:24:00;02.12.2022 12:25:00;;48;Да
02.12.2022;48 Трамваи;48;6;2;5128 (тм);Кушелевка ст.;02.12.2022 17:15:00;02.12.2022 17:16:00;1,00;;Да
02.12.2022;48 Трамваи;48;8;1;5132 (тм);Кушелевка ст.;02.12.2022 12:37:00;02.12.2022 12:38:00;;48;Да
02.12.2022;48 Трамваи;48;8;2;5132 (тм);Кушелевка ст.;02.12.2022 16:43:00;02.12.2022 16:44:00;1,00;;Да
02.12.2022;48 Трамваи;48;9;2;5095 (тм);Кушелевка ст.;02.12.2022 21:59:00;02.12.2022 22:00:00;;43;Да
02.12.2022;48 Трамваи;48;10;2;5036 (тм);Кушелевка ст.;03.12.2022 0:35:00;03.12.2022 0:36:00;;43;Да
02.12.2022;48 Трамваи;48;13;2;5207 (тм);Кушелевка ст.;02.12.2022 20:56:00;02.12.2022 20:57:00;;47;Да
03.12.2022;48 Трамваи;48;3;2;5056 (тм);Кушелевка ст.;03.12.2022 21:05:00;03.12.2022 21:06:00;;44;Да
04.12.2022;48 Трамваи;48;3;2;5045 (тм);Кушелевка ст.;04.12.2022 21:05:00;04.12.2022 21:06:00;;44;Да
05.12.2022;48 Трамваи;48;1;1;5113 (тм);Кушелевка ст.;05.12.2022 12:22:00;05.12.2022 12:23:00;;48;Да
05.12.2022;48 Трамваи;48;1;2;5113 (тм);Кушелевка ст.;06.12.2022 0:22:00;06.12.2022 0:23:00;;43;Да
05.12.2022;48 Трамваи;48;8;1;5063 (тм);Кушелевка ст.;05.12.2022 12:37:00;05.12.2022 12:38:00;;48;Да
05.12.2022;48 Трамваи;48;8;2;5063 (тм);Кушелевка ст.;05.12.2022 16:43:00;05.12.2022 16:44:00;1,00;;Да
05.12.2022;48 Трамваи;48;10;2;5036 (тм);Кушелевка ст.;06.12.2022 0:35:00;06.12.2022 0:36:00;;43;Да
05.12.2022;48 Трамваи;48;2;2;5132 (тм);Кушелевка ст.;05.12.2022 21:12:00;05.12.2022 21:13:00;;46;Да
05.12.2022;48 Трамваи;48;3;2;5213 (тм);Кушелевка ст.;05.12.2022 16:59:00;05.12.2022 17:00:00;1,00;;Да
05.12.2022;48 Трамваи;48;5;2;5207 (тм);Кушелевка ст.;05.12.2022 21:14:00;05.12.2022 21:15:00;;137;Да
05.12.2022;48 Трамваи;48;6;2;5098 (тм);Кушелевка ст.;05.12.2022 17:15:00;05.12.2022 17:16:00;1,00;;Да
05.12.2022;48 Трамваи;48;7;2;5016 (тм);Кушелевка ст.;05.12.2022 21:11:00;05.12.2022 21:12:00;;126;Да
05.12.2022;48 Трамваи;48;9;2;5004 (тм);Кушелевка ст.;05.12.2022 21:35:00;05.12.2022 21:36:00;;130;Да
05.12.2022;48 Трамваи;48;13;2;5119 (тм);Кушелевка ст.;05.12.2022 20:56:00;05.12.2022 20:57:00;;47;Да
06.12.2022;48 Трамваи;48;2;2;5008 (тм);Кушелевка ст.;06.12.2022 21:12:00;06.12.2022 21:13:00;;46;Да
06.12.2022;48 Трамваи;48;3;1;5097 (тм);Кушелевка ст.;06.12.2022 11:58:00;06.12.2022 11:59:00;;48;Да
06.12.2022;48 Трамваи;48;3;2;5097 (тм);Кушелевка ст.;06.12.2022 16:59:00;06.12.2022 17:00:00;1,00;;Да
06.12.2022;48 Трамваи;48;5;2;5030 (тм);Кушелевка ст.;06.12.2022 21:35:00;06.12.2022 21:36:00;;44;Да
06.12.2022;48 Трамваи;48;6;1;5056 (тм);Кушелевка ст.;06.12.2022 12:24:00;06.12.2022 12:25:00;;48;Да
06.12.2022;48 Трамваи;48;6;2;5056 (тм);Кушелевка ст.;06.12.2022 17:15:00;06.12.2022 17:16:00;1,00;;Да
06.12.2022;48 Трамваи;48;8;1;5211 (тм);Кушелевка ст.;06.12.2022 12:37:00;06.12.2022 12:38:00;;48;Да
06.12.2022;48 Трамваи;48;8;2;5211 (тм);Кушелевка ст.;06.12.2022 16:43:00;06.12.2022 16:44:00;1,00;;Да
06.12.2022;48 Трамваи;48;9;2;5014 (тм);Кушелевка ст.;06.12.2022 21:59:00;06.12.2022 22:00:00;;43;Да
06.12.2022;48 Трамваи;48;10;2;5036 (тм);Кушелевка ст.;07.12.2022 0:35:00;07.12.2022 0:36:00;;43;Да
06.12.2022;48 Трамваи;48;13;2;5095 (тм);Кушелевка ст.;06.12.2022 20:56:00;06.12.2022 20:57:00;;47;Да
06.12.2022;48 Трамваи;48;11;2;5129 (тм);Кушелевка ст.;06.12.2022 20:56:00;06.12.2022 20:57:00;;47;Да
07.12.2022;48 Трамваи;48;2;2;5056 (тм);Кушелевка ст.;07.12.2022 21:12:00;07.12.2022 21:13:00;;46;Да
07.12.2022;48 Трамваи;48;3;2;5069 (тм);Кушелевка ст.;07.12.2022 16:59:00;07.12.2022 17:00:00;1,00;;Да
07.12.2022;48 Трамваи;48;5;2;5004 (тм);Кушелевка ст.;07.12.2022 21:35:00;07.12.2022 21:36:00;;44;Да
07.12.2022;48 Трамваи;48;6;2;5213 (тм);Кушелевка ст.;07.12.2022 17:15:00;07.12.2022 17:16:00;1,00;;Да
07.12.2022;48 Трамваи;48;8;2;5211 (тм);Кушелевка ст.;07.12.2022 16:43:00;07.12.2022 16:44:00;1,00;;Да
07.12.2022;48 Трамваи;48;9;2;5095 (тм);Кушелевка ст.;07.12.2022 21:59:00;07.12.2022 22:00:00;;43;Да
07.12.2022;48 Трамваи;48;10;2;5045 (тм);Кушелевка ст.;08.12.2022 0:35:00;08.12.2022 0:36:00;;43;Да
